player_id,username,email,country,registered_at,level,total_spent
PLR000001,Jennie.Boyer,Mamie60@gmail.com,RW,2024-07-28T05:56:58.735Z,53,198.9
PLR000002,Laurie.Rosenbaum,Misty68@hotmail.com,ZA,2024-06-22T05:32:31.397Z,69,144.77
PLR000003,Joe_Ledner18,Angel.Anderson@yahoo.com,NI,2024-10-05T18:01:05.699Z,75,150.1
PLR000004,Christine.Bogan-Fisher15,Cristopher.Mills@gmail.com,BN,2024-05-23T07:46:24.336Z,9,3.44
PLR000005,Russell36,Timothy.Conroy45@hotmail.com,PK,2024-01-06T12:50:16.459Z,55,203.36
PLR000006,Margot_Feeney-Armstrong92,Tracey31@yahoo.com,MA,2024-12-21T12:00:47.523Z,31,19.09
PLR000007,Delia.Yundt55,Vicky93@gmail.com,PK,2025-01-13T18:09:25.887Z,57,322.92
PLR000008,Rosalyn86,Jared.Tremblay@hotmail.com,LY,2026-01-06T12:40:01.503Z,35,371.37
PLR000009,Santos.OHara,Eugene_Tremblay@yahoo.com,HM,2025-02-14T05:31:10.553Z,20,477.17
PLR000010,Geraldine_Cummings23,Claire.Rosenbaum73@hotmail.com,MA,2024-01-06T14:45:53.119Z,79,226.65
PLR000011,Alessia.Torphy54,Billie20@yahoo.com,PG,2024-10-15T16:39:30.356Z,84,349.55
PLR000012,Naomi_Franecki79,Lester16@gmail.com,NG,2025-02-18T15:49:26.686Z,18,211.95
PLR000013,Sandrine.Jacobi,Daphne6@yahoo.com,BF,2025-12-07T15:20:03.816Z,37,27.32
PLR000014,Anika_Weber95,Bernice_Greenholt49@yahoo.com,LK,2025-08-06T20:22:41.759Z,35,292.97
PLR000015,Salma_Veum,Santos_McLaughlin@yahoo.com,NG,2025-11-03T16:08:51.494Z,88,115.65
PLR000016,Kyle_Botsford58,Mae.Langworth5@gmail.com,UG,2024-11-02T20:09:34.221Z,15,249.6
PLR000017,Collin63,Stanley_Frami81@gmail.com,KH,2025-09-30T06:00:08.820Z,11,66.12
PLR000018,Dena_Adams,Julien.Bernier47@gmail.com,UM,2025-05-05T05:32:27.515Z,81,138.38
PLR000019,Kerry_Frami,Nicholas.Roob@yahoo.com,BH,2025-01-19T17:05:27.183Z,64,456.52
PLR000020,Yoshiko97,Madeline45@yahoo.com,SC,2024-12-27T01:48:56.804Z,70,406
PLR000021,Terence_Weissnat,Penelope.Kunze53@yahoo.com,DO,2025-08-08T16:20:57.265Z,98,301.57
PLR000022,Mercedes43,Carlton.Kertzmann59@hotmail.com,CX,2025-09-02T12:19:24.675Z,63,472.48
PLR000023,Kerry_Zboncak70,Marcelino_Donnelly@gmail.com,TZ,2025-03-22T16:23:54.898Z,91,252.05
